,,PERMIT STATUS,CD,COFO ISSUE DATE,DWELLING UNIT CHANGED,ISSUE DATE,JOB ADDRESS,PERMIT SUB-TYPE,PERMIT GROUP,PERMIT NUMBER,PERMIT TYPE,PLAN CHECK SUBMITTAL DATE,SQUARE FOOTAGE,WORK DESCRIPTION,ZIP CODE,ADDRESS COUNT
Permits with CofO,368,CofO Issued,9.0,2011-08-19 13:57:00,1.0,2010-10-12 15:23:00,1351-1353 E 41ST PL,1 or 2 Family Dwelling,Building,10016-20000-18512,Bldg-Addition,,0.0,"Convert (E) 1-Story Sfd To (N) 1-Story Duplex By Adding An Interior 1-Hr Rated Wall & Add Kitchen To 2nd Unit (Interior Remodel).  Add (N) 18'-9"" X 15'-0"" Attached 2-Car Carport @ Rear.  Change Out All Windows For Both Units (Same Size/Location/Type).  **Comments**",90011.0,1.0
Applications Submitted,197,Verifications in Progress,7.0,,1.0,,13511 W TERRA BELLA ST,1 or 2 Family Dwelling,Building,11014-20000-01746,Bldg-Addition,2011-05-17 00:00:00,,Add Carport To Detached Garage & Convert Garage  And Add To Create  Second Dwelling Unit Per Za Memo 120.  Max Area ,91331.0,1.0
Permits with CofO,18,CofO Issued,7.0,2005-11-16 12:18:00,1.0,2005-04-18 00:00:00,13516 W JUDD ST,1 or 2 Family Dwelling,Building,05010-20000-01359,Bldg-New,,639.0,"New 17' 8"" X 45' Second Dwelling Per Ab 1866 With One Open Parking. Construction Per Type V Sheet.",91331.0,1.0
Permits with CofO,69,CofO Issued,7.0,2006-08-04 10:25:00,1.0,2005-12-01 00:00:00,13522 W FILMORE ST,1 or 2 Family Dwelling,Building,05010-20000-06098,Bldg-New,,640.0,New 2nd Dwelling Unit Per Ab 1866.,91331.0,1.0
Applications Submitted,189,Verifications in Progress,7.0,,1.0,,13523 W WEIDNER ST,1 or 2 Family Dwelling,Building,11010-10000-00219,Bldg-New,2011-01-21 00:00:00,1322.75,"New Second Dwelling Unit Per Ab 1866 Standards, A = 1,198 Sq.Ft. And Attached 2-Car Carport, A = 324 Sq.Ft. And Attached Patio Cover, A = 124 Sq.Ft. ""Comply With Department Order Effective Date 02/05/2007. Permit Will Expire 30 Days From Issuance Date""",91331.0,1.0
Applications Submitted,12,Corrections Issued,7.0,,,,13551 W JUDD ST,1 or 2 Family Dwelling,Building,04016-20000-07265,Bldg-Alter/Repair,2004-04-20 00:00:00,,Convert Accessory Living Quarters To 2nd Dwelling Unit,91331.0,1.0
Permits with CofO,142,CofO Issued,7.0,2007-09-14 13:13:00,1.0,2006-06-12 00:00:00,13552 W JUDD ST,1 or 2 Family Dwelling,Building,06010-20000-01451,Bldg-New,,635.0,Second Dwelling Unit On The Lot (2 Bedrooms And 1 Bath).  All Work Per Type V Sheet.,91331.0,1.0
Applications Submitted,515,Reviewed by Supervisor,7.0,,1.0,,13563 W HERRON ST,1 or 2 Family Dwelling,Building,16010-10000-04404,Bldg-New,2016-09-28 00:00:00,732.0,"New One Story, Type V Single Family Dwelling (2nd Dwelling) Per Ord 184,510 (Per Wfpp).",91342.0,1.0
Permits with CofO,275,CofO Issued,7.0,2009-04-24 13:58:00,1.0,2006-01-13 00:00:00,13573 W REMINGTON ST,1 or 2 Family Dwelling,Building,05016-20000-27323,Bldg-Alter/Repair,,569.0,Convert Laundry/ Storage To Second Dwelling Unit Per Ab 1866 With 4' X 18' Patio Cover & Remove Storage Room & Patio Cover To Keep Total Sq. Ft. At 639 Sq. Ft.,91331.0,1.0
Permits with CofO,520,CofO Issued,7.0,2013-12-17 14:33:00,1.0,2013-07-25 08:32:00,13581-13583 W FOOTHILL BLVD,1 or 2 Family Dwelling,Building,13016-20000-10707,Bldg-Alter/Repair,,0.0,Convert Single Faimly Dwelling To Duplex  Per Za 120.,91342.0,1.0
Permits with CofO,590,CofO Issued,11.0,2014-08-28 09:13:00,,2013-02-25 15:10:00,1359 E APPLETON WAY,1 or 2 Family Dwelling,Building,12016-10000-24601,Bldg-Alter/Repair,,385.0,Remove Portion Of Existing Garage To Accomodate (N) Second Dwelling Unit Under 12010-10000-02795.,90291.0,1.0
Permits with CofO,923,Permit Finaled,7.0,,1.0,2003-12-31 00:00:00,13604 W JUDD ST,1 or 2 Family Dwelling,Building,03010-20000-04875,Bldg-New,,637.0,"New Sfd, Second Dwelling On Lot Pursuant To Ab 1866. Includes Elect, Plumbing, And Hvac Permits. Eqso Required. Also To Comply With Otc Dated 12/18/2003. This Permit Expires 30 Days From Date Of Issue.",91331.0,1.0
Permits with CofO,589,CofO Issued,11.0,2014-08-28 09:07:00,1.0,2013-02-25 15:10:00,1361 E APPLETON WAY,1 or 2 Family Dwelling,Building,12010-10000-02795,Bldg-New,,1200.0,Proposed 1-Story 2nd Dwelling Unit With Attached 1-Car Garage Per Za Memorandum 120.  See Permit 12016-10000-24601 For Alteration To (E) Garage To Accomodate (N) 2nd Dwelling Unit.,90291.0,1.0
Permits without CofO ,445,Issued,7.0,,1.0,2017-06-07 10:14:00,13614 N FELLOWS AVE,1 or 2 Family Dwelling,Building,16010-20000-04381,Bldg-New,,498.0,"New 20'-2"" X 27' Second Dwelling Unit Per Ordinance 184510. Nfpa 13d Throughout",91342.0,1.0
Permits with CofO,76,CofO Issued,2.0,2006-09-15 14:26:00,1.0,2006-06-28 00:00:00,13619 W COLLINS ST,1 or 2 Family Dwelling,Building,06010-20000-02352,Bldg-New,,1188.0,New Second Dwelling Unit Per Ab 1866 Above 1st Floor Rec. Room.(See Comments).,91401.0,1.0
Permits without CofO ,198,Issued,7.0,,1.0,2015-06-09 16:30:00,13636 W PIERCE ST,1 or 2 Family Dwelling,Building,14010-20000-04181,Bldg-New,,710.0,"New 1-Story Single Family Dwelling Per Za Memo 120.  (28'8"" X 31'3"") L- Shape (652 Sf)And Front Porch 58 Sf In The Rear Of The Lot.  Fully Sprinklered With Nfpa 13-D.  All Work Per Wfpp.  See Comments",91331.0,1.0
Permits with CofO,402,CofO Issued,7.0,2012-02-29 15:26:00,1.0,2011-08-22 12:08:00,13643-13645 W GAGER ST,1 or 2 Family Dwelling,Building,11010-20000-00861,Bldg-Addition,,568.0,Convert Exist 16.5' X 18.17' Rec. Rm Attached To Exist One Car Garage  Into A 2nd Unit Per Za Memo 120 And Add 12' X 22.17' For A Total Area Of 568 Sq Ft. Max 2nd Unit Floor Area = 1200 Sq Ft For Detached Unit.,91331.0,1.0
Permits with CofO,86,CofO Issued,7.0,2006-10-03 15:18:00,1.0,2006-03-06 00:00:00,13646 W PIERCE ST,1 or 2 Family Dwelling,Building,05010-20000-06649,Bldg-Addition,,745.0,Add Dwelling Unit (609 Sqft) To (E) Sfd To Create Duplex Per Ab1866.  Add Kitchen Extension (136 Sqft) To (E) Dwelling.  All Work Per Type V Sht,91331.0,1.0
Permits without CofO ,302,Issued,7.0,,1.0,2016-09-30 13:59:00,13646-13648 W LEACH ST,1 or 2 Family Dwelling,Building,15014-20000-03542,Bldg-Addition,,395.0,"Convert (E) Att. Garage To Second  Dwelling Unit Per Ordinance 184510 & Add (N) 25'-0"" X 18'-0"" Att.  Carport (All Works Per Wfpp & City Std Details).
 
""Comply With Department Order Effective Date
03/06/2015. Permit Will Expire 30 Days From Issuance Date"".**",91340.0,1.0
Permits without CofO ,358,Issued,14.0,,1.0,2017-01-05 11:08:00,1366 HILDA AVE,1 or 2 Family Dwelling,Building,15010-10004-01704,Bldg-Alter/Repair,,,Change Work Description Of Permit No. 15010-10000-01704 To Read Second Dwelling Unit Per Ordiance 184510,91205.0,1.0
Applications Submitted,30,Verifications in Progress,7.0,,1.0,,13667 W FILMORE ST,1 or 2 Family Dwelling,Building,05016-20000-05510,Bldg-Alter/Repair,2005-03-29 00:00:00,600.0,Convert Existing Garage Into 2nd Single Family Dwelling Unit Per Ab 1866. Construction Per La City Standard Type V Sheet.,91331.0,1.0
Applications Submitted,43,Corrections Issued,7.0,,1.0,,13684 W JUDD ST,1 or 2 Family Dwelling,Building,05010-20000-03739,Bldg-New,2005-07-21 00:00:00,637.0,"New 22' 9"" X 28' Second Dwelling Per Ab 1866 With Open Parking",91331.0,1.0
Permits with CofO,467,CofO Issued,10.0,2013-03-05 08:29:00,1.0,2008-06-09 16:15:00,1370-1372 S HAUSER BLVD,1 or 2 Family Dwelling,Building,05014-30000-03543,Bldg-Addition,,2491.0,"***Comply With Department Order Effective Date 04/27/2005. Permit Will Expire 30 Days From Issuance Date***

Two Story Addition To (E) 1- Story S.F.D. Including Additional Unit (2nd Unit) To Make The Building Into Duplex. Also Add 2- Car Garage (+450sf)
Remodel The Existing Porton.",90019.0,1.0
Applications Submitted,703,PC Info Complete,6.0,,1.0,,13705 W BRANFORD ST,1 or 2 Family Dwelling,Building,17014-10000-03087,Bldg-Addition,2017-06-27 00:00:00,430.0,1 Story Addition To Sfd(Per Wfpp): New Attached 430 Sf Accessory Dwelling Unit Per Ab2299. ***For Future Plan Checker Remember To Ask A Supervisor To Change The Use To Adu After The Project Has Been Approved.*** ,91331.0,1.0
Applications Submitted,330,PC in Progress,7.0,,,,13718 N GLADSTONE AVE,1 or 2 Family Dwelling,Building,13016-20001-00481,Bldg-Alter/Repair,2014-01-08 00:00:00,,"Convert (E) 22'1"" X 43'2"" Garage To 2nd Dwelling Unit Per Za 120. ""Comply With Department Order Effective Date 10/19/2011. Permit Will Expire 30 Days From Issuance Date"" ***Revise Plans*** Plan Check Only (

Permit Not Issued As 2nd Dwelling",91342.0,1.0
Permits without CofO ,427,Issued,7.0,,1.0,2017-05-16 15:53:00,13720 1/2 N BORDEN AVE,1 or 2 Family Dwelling,Building,17010-20000-00317,Bldg-New,,600.0,New Adu Per Ab 2299 And Sb 1069,91342.0,1.0
Permits with CofO,508,CofO Issued,7.0,2013-11-04 08:43:00,1.0,2013-02-28 14:06:00,13721 N SPROULE AVE,1 or 2 Family Dwelling,Building,12016-20000-24049,Bldg-Alter/Repair,,0.0,Convert19' X 21'( 400 Sf ) Portion Of Sfd To Second Dwelling Unit Per Za 120. Comply With Department Order Effective Date 11/13/2012. Permit Will Expire 30 Days From Issuance Date,91342.0,1.0
Permits with CofO,571,CofO Issued,6.0,2014-06-30 12:26:00,1.0,2013-06-24 09:24:00,13724 W BRANFORD ST,1 or 2 Family Dwelling,Building,13014-20000-01462,Bldg-New,,459.0,"New Detached 22'1""X22'7"" Second Dwelling Unit Per Za Memo#120.See Comments.",91331.0,1.0
Permits without CofO ,486,Issued,7.0,,1.0,2017-07-21 14:56:00,13725 N GLADSTONE AVE,1 or 2 Family Dwelling,Building,16014-20000-04050,Bldg-Addition,,411.0,"Remove Exist. 3'-5"" X 26'-3"" Portion Of Accessory Living Quarters And Convert Remaining (E) 28'-10"" X 26'-3"" Accessory Living Quarters To Second Dwelling Unit Per Ordinance 184510, Convert (E) Bedroom & Entry To Kitchen, Convert Storage Room To Closet And 28'-10"" X 17'-2"" Two Bedroom & Two Bathroom Addition. Nfpa-13d Fire Sprinklers Throughout.",91342.0,1.0
Permits without CofO ,96,Issued,7.0,,1.0,2012-04-25 14:38:00,13730 W FILMORE ST,1 or 2 Family Dwelling,Building,12016-20000-03186,Bldg-Alter/Repair,,600.0,Convert Portion Of (E) Recroom/Garage To 20' X 30' 2nd Sfd Dwelling And 18' X 20' Garage Per Za120,91331.0,1.0
Applications Submitted,365,Reviewed by Supervisor,7.0,,1.0,,13756 N GLENOAKS BLVD,1 or 2 Family Dwelling,Building,14016-20000-16362,Bldg-Alter/Repair,2014-08-15 00:00:00,900.0,"Convert A 12'-0"" X 9'-0"" Portion Of A 40'-0"" X 20'-0"" Accessory Living Quarters To  A Kitchen, To Create A Second Dwelling Unit Per Za 120.""Fire Sprinkler Required"", Nfpa 13d. ""Comply With Department Order; Case # 585847.",91342.0,1.0
Permits with CofO,313,CofO Issued,7.0,2010-01-25 14:33:00,1.0,2006-10-17 00:00:00,13774 1/2 W LOUVRE ST,1 or 2 Family Dwelling,Building,05010-10000-06317,Bldg-New,,638.0,New One Story Sfd (2nd Unit) 638 Sqf. With 1-Car Carport 324 Sqf @ Rear Per Type V.,91331.0,1.0
Permits with CofO,739,CofO Issued,7.0,2016-03-02 10:53:00,,2014-07-16 09:18:00,13782 W MERCER ST,1 or 2 Family Dwelling,Building,14016-20000-13916,Bldg-Alter/Repair,,0.0,To Convert Existing Rear Detached Dweling To 2nd Unit Per Za Memo 120. ,91331.0,1.0
Applications Submitted,392,Reviewed by Supervisor,7.0,,1.0,,13784 W LOUVRE ST,1 or 2 Family Dwelling,Building,14014-20000-05250,Bldg-Addition,2014-12-04 00:00:00,480.0,"Irregular Shape Addition Of 21'-0"" X 38'-0"" At Rear And Addition Of 20'-0"" X 5'-0"" At Front Of The (E) Rec-Room And Conversion Of The Entire Accessory Structure To 2nd Dwelling Unit Per Za Memo # 120.   The Entire Proposed Dwelling Shall Be Sprinklered Per Nfpa-13d Requirements - See Comments.   ""Comply With Department Order Effective Date 10/24/2014. Permit Will Expire 30 Days From Issuance Date"". All Permits Shall Be For The Same Time Period Limitation.",91331.0,1.0
Permits with CofO,307,CofO Issued,7.0,2009-12-15 07:15:00,1.0,2007-01-17 00:00:00,13792 W LOUVRE ST,1 or 2 Family Dwelling,Building,06010-20000-01571,Bldg-New,,640.0,Second Dwelling Unit 640 S.F. Att. To (E) 2-Req'D Garage For Main House.,91331.0,1.0
Permits with CofO,278,CofO Issued,9.0,2009-05-19 08:42:00,1.0,2008-07-07 08:17:00,138-140 W 54TH ST,1 or 2 Family Dwelling,Building,08010-10000-00369,Bldg-New,,1020.0,New 2 Story 2nd Unit W/ 2-Car Garage And 2-Car Carport At 1st Floor (825 Sf) 2nd Unit At 2nd Floor (957 Sf).,90037.0,1.0
Permits with CofO,98,CofO Issued,7.0,2006-12-20 13:43:00,1.0,2005-02-02 00:00:00,13818 W LOUVRE ST,1 or 2 Family Dwelling,Building,05014-10000-00142,Bldg-Addition,,1050.0,Proposed Second Dwelling Unit Per State Assembly Bill 1866.,91331.0,1.0
Applications Submitted,382,Verifications in Progress,7.0,,1.0,,13826 W PAXTON ST,1 or 2 Family Dwelling,Building,14010-10000-03304,Bldg-New,2014-10-14 00:00:00,1331.0,Propose Second Dwelling Unit Per Ab1866 At Rear Of Lot.,91331.0,1.0
Permits with CofO,1095,Permit Finaled,6.0,,1.0,2015-08-05 16:27:00,13830-13832 W KAMLOOPS ST,1 or 2 Family Dwelling,Building,15014-20001-00352,Bldg-Alter/Repair,,1699.0,Supplemental To 15014-20000-00352. Convert (E) 18.17'X20.25' Recreation Room Into Second Dwelling Unit To Create Duplex Per Za Memo 120 By Adding Kitchen (Within (E) Rec Room) And Adding (E) Bathroom Of (E) Sfd To 2nd Dwelling Unit.,91331.0,1.0
Permits with CofO,174,CofO Issued,7.0,2008-03-14 14:45:00,1.0,2004-03-04 00:00:00,13876 W WEIDNER ST,1 or 2 Family Dwelling,Building,04010-20000-00685,Bldg-New,,637.0,"New Second Dwelling (640 Sf Max Per Ab1866) Per Type V Sheet. Includes Elect Plumbing, And Hvac Permits. Eqso Required.",91331.0,1.0
Permits with CofO,997,CofO Corrected,7.0,,1.0,2007-08-07 00:00:00,13893 W LOUVRE ST,1 or 2 Family Dwelling,Building,07010-20000-03038,Bldg-New,,640.0,New 2nd Dwelling <Permit Is Expired 30 Days From Issuance Per Inspection Notice>,91331.0,1.0
Permits without CofO ,49,Issued,6.0,,,2008-01-09 16:18:00,13901 W PIERCE ST,1 or 2 Family Dwelling,Building,07010-20000-05523,Bldg-New,,0.0,"New Det. (19'X18') 2-Car Carport & One Open Space For 2nd Dwelling.  ""Per Type V & Stand Details. """,91331.0,1.0
Permits with CofO,199,CofO Issued,6.0,2008-06-27 08:08:00,1.0,2007-03-28 00:00:00,13901 W TERRA BELLA ST,1 or 2 Family Dwelling,Building,06010-20000-05621,Bldg-New,,630.0,New 21'X30' 2nd Dwlg Unit With 2 Bedrooms And 1 Bathroom  <<< Per Ab 1866 >>>. Construction Per Type V Sheet.,91331.0,1.0
Permits without CofO ,48,CofO in Progress,6.0,,1.0,2008-01-09 16:18:00,13901-13903 W PIERCE ST,1 or 2 Family Dwelling,Building,07010-20000-05522,Bldg-Addition,,2466.0,"Add'N Of 2nd Dwlg Per Ab 1866   ""640 S.F. Max. & 290 S.F Patio To (E) Sfd. & Remove The (E) Att. Carport. ""Per Type V""",91331.0,1.0
Permits without CofO ,26,Issued,7.0,,1.0,2005-12-07 00:00:00,13921 W FILMORE ST,1 or 2 Family Dwelling,Building,05014-20000-11281,Bldg-Addition,,639.0,"Convert Recreation To Second Dwelling Per Ab 1866. Add 9' 6"" X 18' 6"" To Enlarge The Dwelling And Attach To Existing 18' X 18' Carport.  One Additional Open Parking Provided. Comply With Dept Order Dated 10/05/2005. Permit Will Expire 30 Daysfrom Issuance Date.",91331.0,1.0
Permits with CofO,406,CofO Issued,7.0,2012-03-13 15:43:00,1.0,2007-06-06 00:00:00,13922 W AZTEC ST,1 or 2 Family Dwelling,Building,07010-20000-01445,Bldg-New,,638.0,"New 22' X 29' 2nd Dwlg Unit Per Ab 1866, 640  Sq Ft. Max.",91342.0,1.0
Permits with CofO,22,CofO Issued,7.0,2006-01-03 12:03:00,1.0,2005-04-06 00:00:00,13922 W DAVENTRY ST,1 or 2 Family Dwelling,Building,05010-20000-01265,Bldg-New,,597.0,"(N) Sfd Per Ab 1866.  Sfd Consists Of 2 Bedrooms, Bathroom, Living Room, And Kitchen.  All Work To Be Per Type V Sheet.",91331.0,1.0
Permits with CofO,201,CofO Issued,7.0,2008-07-07 13:49:00,1.0,2006-01-06 00:00:00,13922 W VAUGHN ST,1 or 2 Family Dwelling,Building,05010-30000-06542,Bldg-New,,638.0,New 2nd Dwelling Unit On Lot Per Ab1866.  1 Story Sfd With Att. Carport And 1 Uncovered Sparking Space.,91331.0,1.0
Permits with CofO,99,CofO Issued,7.0,2006-12-28 14:05:00,1.0,2005-11-28 00:00:00,13923 W DAVENTRY ST,1 or 2 Family Dwelling,Building,05010-20000-06039,Bldg-New,,638.0,New 22' X 29' Second Dwelling Per Ab 1866 With One Open Parking,91331.0,1.0
Permits with CofO,320,CofO Issued,7.0,2010-03-05 08:49:00,1.0,2009-11-30 00:00:00,13923-13925 W WEIDNER ST,1 or 2 Family Dwelling,Building,09016-20000-10995,Bldg-Addition,,2079.0,"1 - Addition & Enclose Ex Rear Porch/Patio Cover For New Den (12'X14') For Existing Front House (13923) And Attach To Proposed 2nd Dwelling At Rear (13925) - ""New Duplex W/ Ex Att 2-Car Carport"". 2 - Remodel & Convert Ex Recrm/Storage To New 2nd Dwelling Unit Per Ab1866. Ex Roof Framing To Remain. All Work Per Type V-Sheet. See Comments. One New Open Parking Stall Provided.",91331.0,1.0
Permits without CofO ,111,Issued,2.0,,1.0,2013-01-08 13:14:00,13931 W ARCHWOOD ST,1 or 2 Family Dwelling,Building,12010-20000-00296,Bldg-New,,851.0,"Construct New 2nd Dwlg 14' X 35' Per Ab 1866,  Za-120
With 1 Open Parking Stall",91405.0,1.0
Permits with CofO,1053,Permit Finaled,2.0,,,2013-03-27 15:45:00,13933 W ARCHWOOD ST,1 or 2 Family Dwelling,Building,12010-20001-00296,Bldg-Addition,,2850.0,"Sullplemental To Permit # 12010-20k-00296 To Change 2nd Dwelling To Addition To (E) Dwelling By Adding 10'X10' Connect To (E) Dwelling, Remove Kitchen And Open Up For Common Area To The Rear Addition.",91405.0,1.0
Permits without CofO ,416,Issued,2.0,,1.0,2017-05-08 16:09:00,13934 W SYLVAN ST,1 or 2 Family Dwelling,Building,16010-30000-04397,Bldg-New,,1053.0,New Second Unit Per Ordinance No.184510  See Comments.,91401.0,1.0
Permits with CofO,32,CofO Issued,7.0,2006-02-27 07:33:00,1.0,2004-12-21 00:00:00,13939 W BEAVER ST,1 or 2 Family Dwelling,Building,04014-20000-11444,Bldg-New,,634.0,"634 S.F. Sfd Per Ab 1866.  Sfd Will Consist Of 2 Bedrooms, Kitchen, Living/Dining Room, And Bathroom.  All Work To Be Per Type V Sheet.",91342.0,1.0
Applications Submitted,111,Corrections Issued,7.0,,1.0,,13940 W FILMORE ST,1 or 2 Family Dwelling,Building,07010-20000-03712,Bldg-New,2007-08-31 00:00:00,636.0,"New 24'1""X 26'5"" 2nd Dwelling Per Ab 1866.  (See Comments For More Information).",91331.0,1.0
Permits with CofO,466,CofO Issued,7.0,2013-02-20 10:50:00,1.0,2004-10-19 00:00:00,13957 W SAYRE ST,1 or 2 Family Dwelling,Building,04014-20000-04906,Bldg-Addition,,640.0,Convert Garage To Second Dwelling Unit (640 Sf Max) & Add Attached 2-Car Carport (18'X18'),91342.0,1.0
Applications Submitted,227,Reviewed by Supervisor,7.0,,1.0,,13960 W FILMORE ST,1 or 2 Family Dwelling,Building,12010-20000-00021,Bldg-New,2012-01-05 00:00:00,1193.0,"New 25'0"" X 50'9"" Irr-Shaped Second Dwelling Unit Per Za Memorandum No. 120 <Fire Sprinklers Thru-Out>",91331.0,1.0
Permits with CofO,457,CofO Issued,7.0,2013-01-16 14:18:00,1.0,2007-10-09 14:30:00,13970 W LA RUE ST,1 or 2 Family Dwelling,Building,07010-20000-00364,Bldg-New,,640.0,New One Story Irr 32' X 40' 2nd Dwlg Unit Per Ab 1866 With Attached Two Car Garage.  Interconnection Btwn Garage And 2nd Unit Not Permitted.,91340.0,1.0
Applications Submitted,199,Reviewed by Supervisor,,,1.0,,13972 W PAXTON ST,1 or 2 Family Dwelling,Building,11016-20000-11301,Bldg-Alter/Repair,2011-06-16 00:00:00,0.0,Convert Accessory Living Quarters (5010-20000-06369) To 2nd Dwelling Unit  Per Za-120,91331.0,1.0
Applications Submitted,522,Reviewed by Supervisor,7.0,,,,13978 W SAYRE ST,1 or 2 Family Dwelling,Building,16016-20000-23314,Bldg-Alter/Repair,2016-09-29 00:00:00,,"Convert Existing 40'-2"" X 32'-2"" Irregular Single Family Dwelling To A 2nd Dwelling Unit Per Ord. No. 184510",91342.0,1.0
Permits with CofO,339,CofO Issued,6.0,2010-12-15 08:05:00,1.0,2009-11-17 10:45:00,13981-13983 W VAN NUYS BLVD,1 or 2 Family Dwelling,Building,09014-20000-03643,Bldg-Addition,,2116.0,Add 2nd Unit W/1 Carport To (E) Sfd. <Comply With Department Order Effective Date 02/15/2007. Permit Will Expire 30 Days From Issuance Date>,91331.0,1.0
Permits without CofO ,39,Issued,7.0,,1.0,2007-04-18 00:00:00,13993 W HERRON ST,1 or 2 Family Dwelling,Building,07010-20000-00853,Bldg-New,,640.0,New 2nd Dwlg Per Ab 1866 Irr 26' X 27.75'.  Area = 640 Sq Ft Max.,91342.0,1.0
Permits without CofO ,260,Issued,7.0,,1.0,2016-01-12 14:37:00,13997 W POLK ST,1 or 2 Family Dwelling,Building,15010-20000-04048,Bldg-New,,635.0,"Build Single Story Type-V Construction Nfpa13-D Sprinkler Throughout 28' X 24.5' Detached 2nd Unit  Per Memorandum Za-120.  All Works Are Per Wfpp.
",91342.0,1.0
Permits with CofO,789,CofO Issued,8.0,2016-08-06 11:43:00,1.0,2016-03-17 15:51:00,140-142 W 86TH PL,1 or 2 Family Dwelling,Building,16014-30000-00738,Bldg-Addition,,2031.0,New And Attached 2-Story 2nd Unit To (E) Sfd.,90003.0,1.0
Applications Submitted,28,Corrections Issued,7.0,,1.0,,14000 W DAVENTRY ST,1 or 2 Family Dwelling,Building,05010-20000-01159,Bldg-New,2005-03-17 00:00:00,587.0,"(N) Sfd Per Ab 1866.  Sfd Consists Of 2 Bedrooms, Kitchen, Living/Dining Room, And Bathroom.  All Work To Be Per Type V Sheet.",91331.0,1.0
Permits with CofO,38,CofO Issued,7.0,2006-03-28 14:12:00,1.0,2005-09-27 00:00:00,14005 W DAVENTRY ST,1 or 2 Family Dwelling,Building,05010-20000-04591,Bldg-New,,639.0,New 22' X 30' Second Dwelling Per Ab 1866 With Attached One-Car Carport And One Open Parking.,91331.0,1.0
